,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,cross_street_name,date,latitude,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2
0,BROOKLYN,View Obstructed/Limited,Unspecified,733       FULTON STREET                 ,2017-03-20,40.686623,-73.97518000000001,1,0,0,0,,,11.5,3635627,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
1,MANHATTAN,Driver Inattention/Distraction,Unspecified,,2017-03-20,40.71436,-74.00839,1,0,0,0,WARREN STREET,CHURCH STREET                   ,13.0,3635630,SPORT UTILITY / STATION WAGON,BICYCLE
2,BRONX,Unsafe Lane Changing,,,2017-03-20,40.81162,-73.93117,1,0,0,0,EAST 135 STREET,PARK AVENUE                     ,8.75,3635736,BICYCLE,
3,,Failure to Yield Right-of-Way,Unspecified,,2017-03-20,,,1,0,0,0,,101 AVENUE                      ,7.083333333333333,3635863,BICYCLE,SPORT UTILITY / STATION WAGON
4,BROOKLYN,Failure to Yield Right-of-Way,Unspecified,,2017-03-20,40.71076,-73.95314,1,0,0,0,SOUTH 1 STREET,BORINQUEN PLACE                 ,17.0,3635931,SPORT UTILITY / STATION WAGON,BICYCLE
5,MANHATTAN,Traffic Control Disregarded,Unspecified,,2017-03-20,40.767340000000004,-73.96868,1,0,0,0,MADISON AVENUE,EAST 65 STREET                  ,18.333333333333332,3636096,BICYCLE,PASSENGER VEHICLE
6,,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,2017-03-20,40.68857,-73.8757,1,0,0,0,,JAMAICA AVENUE                  ,18.5,3636128,BICYCLE,SPORT UTILITY / STATION WAGON
7,MANHATTAN,Driver Inattention/Distraction,Following Too Closely,409       EAST 14 STREET                ,2017-03-20,40.73118,-73.9821,1,0,0,0,,,22.333333333333332,3636151,SPORT UTILITY / STATION WAGON,BICYCLE
8,MANHATTAN,Driver Inattention/Distraction,Unspecified,,2017-03-12,40.75425,-73.96899,1,0,0,0,EAST 49 STREET,2 AVENUE                        ,12.6,3636869,BICYCLE,
9,BROOKLYN,Unspecified,Unspecified,52        7 AVENUE                      ,2017-03-03,40.67613,-73.97434,2,0,0,0,,,11.583333333333334,3626472,PASSENGER VEHICLE,BICYCLE
10,,Driver Inattention/Distraction,Driver Inattention/Distraction,,2017-03-21,40.77077,-73.91727,1,0,0,0,31 STREET,ASTORIA BOULEVARD               ,5.866666666666667,3636039,BICYCLE,SPORT UTILITY / STATION WAGON
11,QUEENS,Driver Inattention/Distraction,Unspecified,,2017-03-21,40.755703000000004,-73.86624,1,0,0,0,34 AVENUE,102 STREET                      ,10.166666666666666,3636274,BICYCLE,
12,,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,2017-03-21,40.674114,-73.88975,1,0,0,0,,GLENMORE AVENUE                 ,13.0,3636406,SPORT UTILITY / STATION WAGON,BICYCLE
13,QUEENS,Passing or Lane Usage Improper,Unspecified,,2017-03-21,40.703873,-73.91256,1,0,0,0,CYPRESS AVENUE,BLEECKER STREET                 ,14.666666666666666,3636562,BICYCLE,SPORT UTILITY / STATION WAGON
14,BROOKLYN,Passing or Lane Usage Improper,Unspecified,,2017-03-21,40.70149,-73.95193,1,0,0,0,LORIMER STREET,MARCY AVENUE                    ,10.666666666666666,3636728,PASSENGER VEHICLE,BICYCLE
